(584, 240), (586, 243), (598, 248), (591, 242), (586, 230), (589, 221), (580, 210), (586, 200), (583, 201), (587, 217), (580, 209), (584, 219), (580, 220), (584, 218), (589, 223), (585, 236), (584, 237), (583, 238), (582, 238)
(565, 266), (572, 267), (574, 267), (567, 261), (561, 251), (551, 221), (537, 213), (529, 218), (533, 229), (533, 236), (522, 226), (530, 233), (533, 232), (537, 227), (536, 225), (550, 231), (558, 247), (560, 248), (563, 248)
(534, 285), (541, 286), (549, 287), (540, 279), (524, 266), (497, 242), (489, 242), (500, 239), (501, 247), (504, 257), (509, 256), (515, 260), (515, 254), (518, 254), (519, 259), (525, 263), (530, 267), (534, 275), (537, 284)
(487, 321), (492, 316), (499, 317), (485, 309), (467, 297), (425, 285), (438, 282), (443, 289), (443, 301), (454, 321), (446, 313), (456, 317), (448, 308), (447, 308), (455, 310), (464, 312), (473, 314), (479, 315), (484, 316)
(439, 353), (439, 351), (444, 352), (435, 339), (415, 331), (393, 320), (385, 324), (385, 342), (382, 352), (391, 363), (387, 358), (399, 359), (395, 362), (390, 352), (395, 344), (408, 346), (420, 349), (427, 348), (435, 351)
(402, 389), (407, 390), (409, 395), (404, 391), (392, 380), (354, 378), (347, 384), (349, 390), (347, 403), (348, 408), (354, 403), (362, 417), (350, 407), (355, 397), (357, 396), (376, 394), (385, 392), (389, 387), (400, 391)
(412, 448), (408, 439), (409, 436), (403, 426), (391, 417), (353, 409), (350, 402), (349, 407), (345, 420), (348, 427), (348, 421), (361, 433), (346, 436), (338, 440), (353, 442), (362, 436), (379, 442), (399, 447), (407, 447)
(458, 484), (458, 483), (453, 474), (453, 463), (444, 469), (422, 468), (407, 478), (396, 487), (378, 497), (382, 500), (385, 496), (398, 506), (384, 507), (402, 511), (407, 499), (412, 486), (424, 479), (441, 481), (449, 475)
(490, 510), (499, 518), (497, 517), (518, 507), (501, 505), (483, 516), (476, 529), (482, 553), (478, 568), (479, 575), (472, 570), (455, 579), (471, 574), (460, 557), (463, 547), (471, 537), (487, 530), (493, 519), (496, 513)
(548, 556), (540, 553), (548, 555), (556, 534), (551, 530), (531, 542), (521, 557), (519, 567), (511, 581), (509, 586), (514, 588), (525, 605), (515, 602), (518, 599), (517, 586), (529, 578), (536, 575), (543, 573), (548, 560)
(569, 576), (578, 579), (573, 581), (584, 566), (581, 566), (567, 567), (552, 584), (555, 592), (543, 602), (531, 602), (538, 606), (530, 604), (515, 598), (513, 596), (514, 585), (527, 578), (533, 566), (540, 563), (544, 557)
(600, 622), (610, 618), (609, 631), (613, 622), (634, 606), (641, 626), (620, 637), (630, 653), (627, 666), (631, 670), (618, 669), (618, 685), (611, 684), (611, 663), (607, 650), (610, 640), (616, 631), (617, 623), (611, 614)
(635, 585), (662, 588), (649, 587), (652, 584), (674, 575), (684, 588), (681, 601), (723, 629), (707, 623), (709, 630), (708, 634), (710, 642), (697, 619), (677, 612), (664, 609), (653, 610), (655, 604), (648, 591), (648, 595)
(668, 490), (676, 489), (681, 493), (702, 488), (712, 497), (726, 488), (737, 504), (756, 498), (760, 504), (763, 504), (735, 506), (746, 506), (719, 511), (702, 518), (697, 525), (709, 527), (701, 521), (701, 515), (697, 513)
(686, 424), (690, 420), (694, 421), (710, 418), (714, 402), (720, 404), (730, 403), (744, 396), (749, 401), (753, 409), (747, 415), (750, 423), (736, 421), (722, 419), (711, 419), (708, 406), (706, 402), (703, 398), (700, 394)
(711, 369), (714, 363), (719, 358), (721, 358), (712, 347), (717, 347), (734, 356), (746, 356), (753, 364), (754, 368), (748, 359), (750, 360), (739, 361), (731, 369), (726, 368), (722, 364), (723, 363), (717, 362), (721, 362)
(751, 342), (758, 343), (772, 342), (768, 341), (773, 332), (788, 334), (791, 340), (811, 344), (805, 352), (807, 351), (796, 338), (777, 342), (767, 348), (761, 350), (758, 353), (757, 352), (751, 347), (748, 349), (756, 346)
(756, 318), (762, 313), (769, 316), (769, 314), (784, 310), (800, 312), (805, 315), (813, 316), (822, 319), (824, 322), (812, 324), (807, 313), (803, 320), (791, 325), (778, 327), (773, 325), (771, 322), (766, 321), (758, 319)
(716, 271), (714, 269), (722, 269), (719, 271), (717, 257), (721, 242), (720, 242), (724, 236), (733, 235), (733, 235), (727, 239), (732, 241), (729, 243), (722, 250), (721, 252), (715, 253), (716, 266), (722, 266), (718, 266)
(634, 288), (638, 289), (641, 288), (641, 288), (631, 259), (629, 243), (629, 216), (629, 198), (629, 201), (629, 209), (630, 208), (637, 206), (633, 213), (635, 211), (635, 216), (632, 216), (630, 216), (629, 248), (630, 270)
