(641, 291), (641, 293), (636, 294), (645, 301), (648, 302), (646, 294), (644, 280), (634, 263), (634, 252), (639, 221), (641, 216), (636, 223), (632, 229), (629, 243), (636, 249), (639, 252), (640, 254), (638, 262), (637, 273), (641, 291)
(610, 271), (612, 272), (614, 277), (615, 278), (616, 279), (618, 279), (609, 260), (611, 244), (601, 234), (599, 232), (599, 214), (600, 231), (601, 229), (605, 238), (609, 242), (604, 232), (607, 242), (606, 251), (602, 257), (601, 264)
(582, 252), (580, 254), (583, 256), (587, 260), (591, 273), (587, 264), (586, 236), (589, 227), (591, 225), (594, 206), (593, 210), (592, 220), (587, 236), (587, 242), (583, 243), (584, 242), (585, 246), (587, 248), (588, 254), (588, 253)
(561, 272), (560, 270), (565, 273), (568, 271), (569, 274), (566, 265), (555, 238), (554, 224), (556, 221), (554, 220), (565, 212), (567, 221), (569, 220), (557, 236), (559, 236), (561, 237), (562, 237), (561, 242), (557, 251), (559, 256)
(536, 285), (536, 285), (539, 286), (544, 287), (543, 287), (542, 283), (521, 269), (506, 248), (500, 242), (504, 244), (496, 248), (503, 258), (507, 253), (520, 269), (519, 266), (520, 268), (517, 265), (525, 272), (531, 278), (542, 286)
(514, 307), (515, 307), (517, 317), (514, 314), (510, 321), (512, 310), (489, 304), (466, 281), (464, 277), (468, 288), (475, 292), (475, 304), (482, 300), (484, 307), (480, 308), (480, 305), (482, 304), (488, 307), (501, 319), (511, 321)
(488, 326), (489, 334), (488, 335), (488, 336), (487, 334), (482, 331), (464, 317), (436, 295), (441, 292), (442, 306), (448, 306), (461, 314), (463, 317), (466, 321), (459, 324), (460, 321), (460, 323), (467, 325), (479, 335), (485, 338)
(460, 347), (468, 348), (462, 344), (476, 350), (482, 350), (474, 352), (456, 339), (415, 317), (412, 319), (422, 328), (427, 339), (437, 345), (426, 333), (440, 349), (433, 342), (429, 339), (435, 346), (444, 350), (449, 359), (462, 359)
(438, 363), (446, 362), (447, 367), (443, 363), (443, 375), (437, 364), (422, 354), (387, 336), (395, 338), (398, 357), (406, 357), (417, 361), (413, 358), (423, 358), (414, 351), (413, 348), (425, 351), (430, 361), (438, 366), (449, 371)
(419, 383), (423, 390), (421, 385), (423, 386), (425, 385), (425, 384), (397, 377), (375, 366), (368, 364), (373, 369), (387, 382), (395, 384), (387, 385), (395, 389), (390, 384), (385, 383), (388, 381), (391, 388), (407, 394), (422, 393)
(404, 408), (423, 423), (421, 423), (424, 425), (427, 427), (435, 431), (415, 422), (389, 419), (374, 420), (369, 423), (367, 424), (370, 430), (368, 424), (371, 434), (370, 428), (368, 425), (376, 423), (388, 430), (402, 428), (420, 432)
(418, 453), (436, 468), (443, 463), (451, 466), (454, 462), (464, 458), (459, 464), (443, 472), (414, 473), (395, 474), (380, 484), (387, 487), (386, 485), (384, 485), (380, 479), (375, 468), (395, 478), (415, 473), (435, 475), (444, 475)
(460, 501), (477, 504), (484, 501), (486, 500), (490, 501), (496, 497), (497, 500), (485, 512), (468, 519), (450, 522), (436, 534), (433, 534), (431, 537), (443, 551), (442, 554), (441, 550), (447, 538), (464, 519), (480, 516), (486, 512)
